model_conditions,model_usage,covariate,Deriv,type1,type2,stat,year,prop,soil,depth_int,depth,top_depth,bot_depth
0,16,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Ca_5_15,Ca,5_15,`5-15,5,15
0,15,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,CCE_0_5,CCE,0_5,0-5,0,5
0,36,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,CCE_15_30,CCE,15_30,15-30,15,30
0,15,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,CCE_30_60,CCE,30_60,30-60,30,60
0,24,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,CCE_5_15,CCE,5_15,`5-15,5,15
0,30,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,CEC_15_30,CEC,15_30,15-30,15,30
0,22,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,cf_5_15,cf,5_15,`5-15,5,15
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,K_30_60,K,30_60,30-60,30,60
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,K_5_15,K,5_15,`5-15,5,15
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Mg_60_100,Mg,60_100,60-100,60,100
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,P_Olsen_30_60,Olsen P,30_60,30-60,30,60
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,pH_5_15,pH,5_15,`5-15,5,15
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,sand_5_15,sand,5_15,`5-15,5,15
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,TOC_30_60,TOC,30_60,30-60,30,60
0,10,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,TOC_5_15,TOC,5_15,`5-15,5,15
0,20,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Total N_0_5,Total N,0_5,0-5,0,5
0,1,CA_30m,Terrain,catchment area,wetness indices,,2006-2009,Total N_30_60,Total N,30_60,30-60,30,60
0,15,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Ca_0_5,Ca,0_5,0-5,0,5
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Ca_100_150,Ca,100_150,100-150,100,150
0,25,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Ca_5_15,Ca,5_15,`5-15,5,15
0,5,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Ca_60_100,Ca,60_100,60-100,60,100
0,1,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,CCE_0_5,CCE,0_5,0-5,0,5
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,CCE_100_150,CCE,100_150,100-150,100,150
0,9,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,CEC_15_30,CEC,15_30,15-30,15,30
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,21,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,EC_15_30,EC,15_30,15-30,15,30
20,30,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,EC_60_100,EC,60_100,60-100,60,100
5,25,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,K_0_5,K,0_5,0-5,0,5
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,K_30_60,K,30_60,30-60,30,60
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,P_Bray_30_60,Bray P,30_60,30-60,30,60
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,P_Olsen_100_150,Olsen P,100_150,100-150,100,150
0,4,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,P_Olsen_60_100,Olsen P,60_100,60-100,60,100
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,CA_3m,Terrain,catchment area,wetness indices,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
